ISBN,title,description,authors,publish_date,publisher,number_of_pages,subjects
0670878812,Riven Rock,"In his most fully realized and compassionate novel to date, T.C. Boyle transforms two characters straight out of history into rich, mythic creations whose tortured love and epic story is intimate enough to break our hearts. Wed to Stanley McCormick, a schizophrenic sexual maniac, Katherine Dexter struggles to cure him while he is locked up in his Santa Barbara mansion and forbidden the mere sight of a woman--above all, his wife.",T. Coraghessan Boyle,1998,Viking Adult,488,Fiction
0804111359,The Secret History,"\"Powerful...Enthrallling...A ferociously well-paced entertainment.\" THE NEW YORK TIMES Richard Papen arrived at Hampden College in New England and was quickly seduced by an elite group of five students, all Greek scholars, all worldly, self-assured, and, at first glance, all highly unapproachable. As Richard is drawn into their inner circle, he learns a terrifying secret that binds them to one another...a secret about an incident in the woods in the dead of night where an ancient rite was brought to brutal life...and led to a gruesome death. And that was just the beginning.... \"A smart, craftsman-like, viscerally compelling novel.\" TIME Selected by the Book-of-the-Month Club A NEW YORK TIMES NOTABLE BOOK",Donna Tartt,1993,Ballantine Books,570,Fiction
0385333404,"","","","","",0,""
0684842696,"","","","","",0,""
0140109595,A Place I've Never Been,"",David Leavitt,1991,Penguin Mass Market,216,Fiction
042511774X,"","","","","",0,""
0316781142,"","","","","",0,""
0449221490,"","","","","",0,""
0312976275,"","","","","",0,""
0515125490,Judas Child,"Policeman Rouge Kindall investigates the disappearance of two young girls three days before Christmas, a case disturbingly similar to the murder of his twin sister many years earlier.",Carol O'Connell,1999-08,Jove Books,436,Fiction
0312265867,"","","","","",0,""
0349105715,"","","","","",0,""
0440236703,Watch Your Back!,"",Donald E. Westlake,2005,"",370,Bars (Drinking establishments)
0553579606,"","","","","",0,""
0590477455,"","","","","",0,""
0671003755,"","","","","",0,""
0552146986,"","","","","",0,""
0312966091,"","","","","",0,""
080411868X,"","","","","",0,""
0743424107,"","","","","",0,""
0440218667,"","","","","",0,""
0449003981,"","","","","",0,""
0486278026,Macbeth,"Dark and bloody drama of ambition, guilt, and revenge centers on an ambitious Scottish nobleman who murders the king in order to succeed to the throne. Tortured by his conscience and fearful of discovery, he becomes fatally enmeshed in a web of treachery and deceit that spells his doom.",William Shakespeare,1993-01-01,Courier Corporation,98,Drama
0399150560,"","","","","",0,""
0385335210,"","","","","",0,""
0385315236,"","","","","",0,""
0140255125,"","","","","",0,""
0671042491,"","","","","",0,""
0671888587,I'll Be Seeing You,A young news reporter on assignment at a large metropolitan hospital is horrified when she sees that a young Jane Doe whom paramedics have failed to save has a face identical to her own.,Mary Higgins Clark,1994-05,Simon and Schuster,22,Fiction
0451192613,"","","","","",0,""
0786890037,"","","","","",0,""
0385720106,"","","","","",0,""
0553272055,"","","","","",0,""
038075911X,"","","","","",0,""
0312150601,Behind the Scenes at the Museum,"This 1995 Whitbread Book of the Year paints a rich, vivid portrait of heartbreak and happiness, recounting the story of Ruby Lennox, a narrator who will leave no stone unturned in her account of family life above a pet shop in England. \"A poignant and beautifully wrought portrait of a young girl's growth\".--\"Seattle Times\".",Kate Atkinson,1996,Macmillan,338,Fiction
0804119511,"","","","","",0,""
080410753X,The Kitchen God's Wife,An absorbing narrative of Winnie Louie's life.,Amy Tan,1991,"Random House Digital, Inc.",546,Fiction
0449217493,"","","","","",0,""
0553262580,"","","","","",0,""
0671003682,"","","","","",0,""
042510107X,"","","","","",0,""
0671042440,"","","","","",0,""
039915079X,"","","","","",0,""
1565999916,"","","","","",0,""
055356045X,"","","","","",0,""
0451523105,"","","","","",0,""
0553582755,"","","","","",0,""
0671042572,"","","","","",0,""
044661162X,"","","","","",0,""
0449206610,The Brotherhood of the Rose,"\"Riveting...Crackling...It really moves.\" WASHINGTON POST BOOK WORLD They were orphans, Chris and Saul--raised in a Philadelphia school for boys, bonded by friendship, and devoted to a mysterious man called Eliot. He visited them and brought them candy. He treated them like sons. He trained them to be assassins. Now he is trying desperately to have them killed. Spanning the globe, here is an astonishing novel of fierce loyalty and violent betrayal, of murders planned and coolly executed, of revenge bitterly, urgently desired.",David Morrell,1984-12-12,Fawcett,386,Fiction
0679448594,"","","","","",0,""
0553274848,"","","","","",0,""
0812570219,"","","","","",0,""
0553572997,The Alienist,"In 1896 New York, psychologist--or in period terminology, an alienist--Laszlo Kreizler joins forces with journalist John Schuyler Moore to track a vicious serial killer.",Caleb Carr,1995,Bantam,612,Fiction
0553280341,"","","","","",0,""
0671014196,"","","","","",0,""
0385479484,"","","","","",0,""
0345353145,"","","","","",0,""
0070064547,"","","","","",0,""
0449222489,"","","","","",0,""
0688150896,The Tenth Justice,"When Ben Addison, a new clerk for a Supreme Court justice, makes an error in judgement that leaves him open to blackmail, he turns for help to Lisa, a fellow clerk, and his housemates, who work in the State Department, a senator's office, and a Washington newspaper",Brad Meltzer,1997,William Morrow & Company,389,Fiction
0515136530,"","","","","",0,""
0446610542,"","","","","",0,""
0804112975,"","","","","",0,""
0380711524,"","","","","",0,""
0440224764,"","","","","",0,""
042516098X,"","","","","",0,""
034537522X,"","","","","",0,""
0880381752,"","","","","",0,""
0060933429,"","","","","",0,""
0440225922,"","","","","",0,""
0805063897,"","","","","",0,""
0373835396,Four in Hand,"Four In Hand by Stephanie Laurens released on Jun 24, 2002 is available now for purchase.",Stephanie Laurens,2002,Harlequin Books,314,Fiction
0743442652,"","","","","",0,""
0375422188,"","","","","",0,""
0671496786,"","","","","",0,""
0061092533,"","","","","",0,""
0316781266,The Last Time They Met,"From the last time Linda and Thomas meet, at a charmless hotel in a distant city, to the moment, thirty-five years earlier, when a chance encounter on a rocky beach binds them fatefully together, this hypnotically compelling novel unfolds a tale of intense passion, drama, and suspense. The Last Time They Met is a singularly ambitious and accomplished work by one of today's most widely celebrated novelists.",Anita Shreve,2002-01-22,Back Bay Books,352,Fiction
0345413903,The Murder Book,"When Los Angeles psychologist and sleuth Alex Delaware becomes embroiled in a long-unsolved case of brutal murder, he finds his own life and that of his longtime friend, homicide detective Milo Sturgis, at stake.",Jonathan Kellerman,2002,"",548,Fiction
1551664879,"","","","","",0,""
0440184053,"","","","","",0,""
0553582763,"","","","","",0,""
0373196318,"","","","","",0,""
014044100X,"","","","","",0,""
0380800802,"","","","","",0,""
0380018179,"","","","","",0,""
0440225329,"","","","","",0,""
0440212561,"","","","","",0,""
0688158129,"","","","","",0,""
0440224624,"","","","","",0,""
0449207668,"","","","","",0,""
0064400069,"","","","","",0,""
0451192028,"","","","","",0,""
0345380371,"","","","","",0,""
0553575090,"","","","","",0,""
0061097101,"","","","","",0,""
0316780375,"","","","","",0,""
0804115613,"","","","","",0,""
0440225442,"","","","","",0,""
0684832178,"","","","","",0,""
1551666022,"","","","","",0,""
0451197747,The Deep End of the Ocean,Beth Cappadora's life and family changes dramatically when her three-year-old son suddenly vanishes.,Jacquelyn Mitchard,1999,Signet Book,832,Fiction
0440221471,"","","","","",0,""
0671700103,"","","","","",0,""
0345309197,"","","","","",0,""
0449202623,Banker,"When young investment banker Tim Ekaterin becomes involved in the cutthroat world of thoroughbred racing, he finds his life in business blown to smithereens. For suddenly the multimillion dollar loan he arranges to finance the purchase of a champion racehorse is threatened by an apparent defect in the animal. Then, as Tim desperately searches for answers, he falls headlong into a deadly deal of violence and murder. . . .",Dick Francis,1984,Fawcett,303,Detective and mystery stories
342619581X,Sündenherz,"Eines Tages verschwindet der kleine Owen. Seine Mutter war zur Arbeit, der Vater Nick bei der Nachbarin, das Au-pair-Mädchen Marianne bei ihrem Freund. 10 Jahre später macht sich Nick, inzwischen ruhelos durch die Welt gezogen, erneut daran, das Verschwinden seines Sohnes aufzuklären.",Julie Parsons,2004,"",428,""
0553292722,Still Waters,"The deepest waters hide the darkest secrets.... When the body of a murdered man literally falls at Elizabeth Stuart's feet, she's able to wash away the blood--but not the terror. Unwelcome newcomers to Still Creek, Minnesota, she and her troubled teenage son are treated with suspicion by the locals, including the sheriff. Yet nothing will stop her from digging beneath the town's placid surface for the truth—except the killer. Running from a messy divorce, Elizabeth believed buying a small-town newspaper offered a fresh start for herself and her son. But idyllic Still Creek, nestled in the heart of lush Amish farmlands, hides secrets dangerous enough to push someone to commit murder. Now Elizabeth must risk everything to save herself and her son, and to unmask the killer...before the current of evil flowing through Still Creek drags her under. When Elizabeth Stuart searched for a quiet, peaceful home for herself and her son, Still Creek seemed perfect. Nestled in the heart of lush Amish farmlands, this small, idyllic Minnesota town would allow her to put a shattering divorce behind her. But the locals were noticeably cool to the newcomer—who was rumored to be a gold-digger—especially when she started stirring up controversy with her newspaper. And now when a murdered body literally falls at her feet, she has a slight credibility problem...particularly with the arrogant sheriff whose blue eyes seem to know her darkest secrets. An ex-pro athlete who had returned to Still Creek a hero, Sheriff Dane Jantzen doesn't have much use for the media—especially not in the form of this glamorous, gutsy outsider who spells trouble with every word she prints. So when she becomes his suspect in a vicious crime, the last thing Dane expects is the jolt of attraction at their every encounter. Elizabeth would soon challenge Dane's every assumption, including the one that he's better off without love. But as they risk everything to uncover the truth, the current of evil that contaminates Still Creek threatens to pull them both under...",Tami Hoag,1992-10-01,Bantam,466,Fiction
057120175X,"","","","","",0,""
055357924X,"","","","","",0,""
0451190157,The Legacy,"When he receives word that his estranged father has died, Cole Egan also discovers that he has inherited a previously unknown videotape of John F. Kennedy's assassination",Stephen Frey,1999-04-28,Onyx Books,373,Fiction
0375507523,"","","","","",0,""
0385335482,"","","","","",0,""
1558745157,"","","","","",0,""
0345368991,"","","","","",0,""
0060987561,"","","","","",0,""
0425175405,"","","","","",0,""
0743465067,"","","","","",0,""
0380810158,"","","","","",0,""
0446364193,"","","","","",0,""
0671027360,"","","","","",0,""
0441005926,"","","","","",0,""
0886776376,"","","","","",0,""
0349101779,"","","","","",0,""
0441009867,"","","","","",0,""
0671510053,"","","","","",0,""
0312969422,"","","","","",0,""
0380755556,"","","","","",0,""
0345432479,"","","","","",0,""
0345445724,"","","","","",0,""
0812534050,"","","","","",0,""
0449005925,"","","","","",0,""
055321263X,The Woman in White,"Wilkie Collins’ classic tale of murder, intrigue, madness, and mistaken identity ONE OF TIME’S 100 BEST MYSTERY AND THRILLER BOOKS OF ALL TIME “There, in the middle of the broad, bright high-road—there, as if it had that moment sprung out of the earth or dropped from the heaven—stood thefigure of a solitary Woman, dressed from head to foot in white garments.” Generally considered the first English sensation novel, The Woman in Whitefeatures the remarkable heroine Marian Halcombe and her sleuthing partner, drawing master Walter Hartright, pitted against the diabolical team of Count Fosco and Sir Percival Glyde. After more than a century since its publication, Wilkie Collins’s psychological thriller has never been out of print.",Wilkie Collins,1985-04-01,Bantam Classics,802,Fiction
0671024248,"","","","","",0,""
0970816308,"","","","","",0,""
0515089958,The Majors,"Dien Bien Phu. Saigon. Hanoi. In 1954, they were only exotic names from a French campaign halfway around the world. But now American fighting men--proven on the bloody beaches of Normandy and in the minefields of Korea--are summoned to help beat back the guerilla forces of Ho Chi Minh. To some, the \"secret\" war in Indochina was the depth of folly. To others, like the Majors, it pointed to the heights of glory...",W.E.B. Griffin,1986-11-15,Penguin,385,Fiction
0679419462,"","","","","",0,""
0671534726,"","","","","",0,""
0380778777,"Murder, My Suite","Gossip columnist Dagmar Delacroix Chatsworth and her yappy lapdog Rover's recent stay at the Hillside manor left hostess Judith McMonigle Flynn's nerves, and best bed linens, in tatters.So Judith joins cousin Renie for some well-earned off-season R&R at Canada's famous Bugler Ski Resort -- only to discover with horror that the swanky getaway is the next stop on detestable Dagmar's itinerary.But it seems the cousins aren't the only guests with serious grudges against the dirt-disher and her malicious mutt. And when one of the despised lady's entourage is murdered on the snowless slopes, Judith sets out to corner a killer -- before more hapless hangers-on discover that Dagner's company can be even more poisonous than her pen. Gossip columnist Dagmar Delacroix Chatsworth and her yappy lapdog Rover's recent stay at the Hillside Manor left hostess Judith McMonigle Flynn's nerves, and best bed linens, in tatters. So Judith joins cousin Renie for some well-earned off-season R&R at Canada's famous Bugler Ski Resort -- only to discover with horror that the swanky getaway is the next stop on detestable Dagmar's itinerary. But it seems the cousins aren't the only guests with serious grudges against the dirt-disher and her malicious mutt. And when one of the despised lady's entourage is murdered on the snowless slopes, Judith sets out to corner a killer -- before more hapless hangers-on discover that Dagmar's company can be even more poisonous than her pen.",Mary Daheim,2001-01-01,Avon,272,Fiction
0375703055,"","","","","",0,""
0375760911,The Idiot Girls' Action-Adventure Club,"NEW YORK TIMES BESTSELLER “I’ve changed a bit since high school. Back then I said no to using and selling drugs. I washed on a normal basis and still had good credit.” Introducing Laurie Notaro, the leader of the Idiot Girls’ Action-Adventure Club. Every day she fearlessly rises from bed to defeat the evil machinations of dolts, dimwits, and creepy boyfriends—and that’s before she even puts on a bra. For the past ten years, Notaro has been entertaining Phoenix newspaper readers with her wildly amusing autobiographical exploits and unique life experiences. She writes about a world of hourly-wage jobs that require absolutely no skills, a mother who hands down judgments more forcefully than anyone seated on the Supreme Court, horrific high school reunions, and hangovers that leave her surprised that she woke up in the first place. The misadventures of Laurie and her fellow Idiot Girls (“too cool to be in the Smart Group”) unfold in a world that everyone will recognize but no one has ever described so hilariously. She delivers the goods: life as we all know it.",Laurie Notaro,2002-07-02,Villard,240,Biography & Autobiography
0374386137,A Wrinkle in Time,Three extra-terrestrial beings take Meg and her friends to another world.,Madeleine L'Engle,1962,Macmillan,222,Juvenile Fiction
0064403688,"","","","","",0,""
038070384X,"","","","","",0,""
0385260075,"","","","","",0,""
0380792486,"","","","","",0,""
0345296060,"","","","","",0,""
0439139597,"","","","","",0,""
0399143947,"","","","","",0,""
0671876465,"","","","","",0,""
0140178139,"","","","","",0,""
055356451X,"","","","","",0,""
014025448X,"","","","","",0,""
0395177111,"","","","","",0,""
0399144706,"","","","","",0,""
0380784505,"","","","","",0,""
3458171703,Der Schatten des Windes,"In einem geheimnisvollen äFriedhof der vergessenen Bücherä darf sich der junge Daniel ein Buch aussuchen. Fasziniert von der Geschichte, die er liest, macht sich Daniel auf die Suche nach dem Autor und gerät dabei in grosse Gefahr.",Carlos Ruiz Zafón,2003,"",526,Antiquarian booksellers
0515118656,"","","","","",0,""
0440223822,Outrage,"A best-selling account by the author of Helter Skelter outlines the main reasons O.J. Simpson was acquitted of murder, from the jury's makeup to the incompetence of the prosecutors. Reprint.",Vincent Bugliosi,1996,"",546,Social Science
0345427637,"","","","","",0,""
034529873X,"","","","","",0,""
0553560719,"","","","","",0,""
0345325680,The good war,"Oral history evokes the innocent idealism, as well as the terror and horror, of ordinary Americans at home and abroad during World War II",Studs Terkel,1985-10-12,Ballantine Books,591,History
0060930535,"","","","","",0,""
0618129081,The Two Towers,"After losing Gandalf and being divided from their other companions during an Orc attack, Frodo and Sam continue towards Mordor, Land of the Enemy, to destroy the Ring, accompanied only by a mysterious figure that follows them.",John Ronald Reuel Tolkien,2001,Mariner Books,725,Fiction
0671758896,"","","","","",0,""
0061000027,"","","","","",0,""
0679722637,"","","","","",0,""
067102535X,"","","","","",0,""
0425157547,"","","","","",0,""
067944999X,The Kiss,"An extraordinary memoir transforms into a work of art the darkest pasage in a young woman's life : an obsessive love affiar between father and daughter that began when Kathryn harrison, twenty, was reunited with the father whose absence had haunted her youth.",Kathryn Harrison,1997,Random House (NY),232,Biography & Autobiography
0671739735,"","","","","",0,""
0425182908,"","","","","",0,""
0385315147,"","","","","",0,""
0449221504,"","","","","",0,""
0345310799,"","","","","",0,""
068485029X,"","","","","",0,""
0345382447,"","","","","",0,""
0156027321,"","","","","",0,""
0380721228,"","","","","",0,""
0553279556,"","","","","",0,""
0446610399,"","","","","",0,""
0451524411,"","","","","",0,""
0345434250,Nimisha's Ship,"After being stranded light years from home in an experimental starship, Lady Nimisha BoyntonRondymensedirector of the Rondymense Ship Yardsmust return to defend the yards against a rival branch of her family. Reprint.",Anne McCaffrey,2000-01,Del Rey Books,361,Fiction
0805462996,"","","","","",0,""
0060094397,"","","","","",0,""
0345337662,Interview with the Vampire,"The spellbinding classic that started it all, from the #1 New York Times bestselling author—the inspiration for the hit television series “A magnificent, compulsively readable thriller . . . Rice begins where Bram Stoker and the Hollywood versions leave off and penetrates directly to the true fascination of the myth—the education of the vampire.”—Chicago Tribune Here are the confessions of a vampire. Hypnotic, shocking, and chillingly sensual, this is a novel of mesmerizing beauty and astonishing force—a story of danger and flight, of love and loss, of suspense and resolution, and of the extraordinary power of the senses. It is a novel only Anne Rice could write.",Anne Rice,1991-09-13,Ballantine Books,369,Fiction
0449001725,"","","","","",0,""
0552999458,"","","","","",0,""
0061093327,"","","","","",0,""
0451407229,"","","","","",0,""
0345402871,"","","","","",0,""
0380793660,"","","","","",0,""
044021680X,James Clavell's Gai-Jin,The new leader of the noble family meets a beautiful French woman in Japan in the 1860s.,James Clavell,1994,"",1106,Fiction
0060502312,Breaking All the Rules,"In this delightful return to Paradise Beach, Erin Kelly decides to fight for her mentor, who has been declared incompetent by the courts, using every devious trick the older woman ever taught her. Erin goes up against attorney Richard Wesley III. Richard finds Erin exciting, and a little \"war\" never hurt anyone. Although he's secretly on Erin's side, he is bound by law to do what he must--even if it costs him her love.",Sue Civil-Brown,2002-09-03,Harper Collins,388,Fiction
0812511751,"","","","","",0,""
1573229628,"","","","","",0,""
0142001740,"","","","","",0,""
0743213165,"","","","","",0,""
0449221482,"","","","","",0,""
0590442562,"","","","","",0,""
0385334834,"","","","","",0,""
0446363499,"","","","","",0,""
0671673688,While My Pretty One Sleeps,"A stunning tale of murder, glamour, and romance, While My Pretty One Sleeps is the most exciting novel yet from Mary Higgins Clark, the Queen of Suspense. Neeve Kearny may be the only person in New York worried about the disappearance of Ethel Lambston. Ethel, a bestselling author famous for her juicy exposés, is one of the best customers at Neeve’s exclusive Madison Avenue boutique. But Ethel’s ex-husband, her parasitical nephew, and the fashion moguls skewered in her latest article all have reason to be glad she’s no longer around. When Ethel Lambston is found with her throat cut, Neeve’s memories of her mother’s long-unsolved murder loom up once again. Now as an innocent witness in the Lambston investigation, Neeve is drawn into a new nightmare...a sinister labyrinth of greed and ambition that will lead her into mortal danger...",Mary Higgins Clark,1990-07-01,Pocket Books,324,Fiction
0553582526,"","","","","",0,""
0671568175,"","","","","",0,""
0385474016,"","","","","",0,""
0061009059,"","","","","",0,""
0671709704,"","","","","",0,""
0345424719,"","","","","",0,""
1400031354,"","","","","",0,""
0446359866,"","","","","",0,""
0395345308,"","","","","",0,""
3100478258,"","","","","",0,""
081297106X,"","","","","",0,""
0671695304,"","","","","",0,""
0786889098,"","","","","",0,""
0060931396,"","","","","",0,""
074343627X,"","","","","",0,""
0380841940,Refugee,"",Piers Anthony,1983,Avon Books,312,Fiction
0767908171,"","","","","",0,""
0373270976,"","","","","",0,""
0340693096,"","","","","",0,""
0380001098,"","","","","",0,""
0373871805,"","","","","",0,""
0425176053,"","","","","",0,""
055325698X,"","","","","",0,""
0380729407,"","","","","",0,""
0439136369,"","","","","",0,""
0553565095,"","","","","",0,""
0743486226,"","","","","",0,""
0515136190,Once Upon a Midnight,"From a courageous young woman who saves a kingdom from tragedy, to a beautiful young American who finds love in the Highlands, this collection of romances is filled with magical mayhem and enchanting escapades.","",2003,Penguin,420,Fiction
1885222556,"","","","","",0,""
0553573403,"","","","","",0,""
0689817851,"","","","","",0,""
1573220876,"","","","","",0,""
059049418X,The Change,"Unable to return to his human form after morphing into a red-tailed hawk, Tobias is assisted by an Ellimist in changing his form into other animals and wonders if he will ever be a human again. Original.",K. A. Applegate,1997,Scholastic Paperbacks,162,Extraterrestrial beings
0375727345,House of Sand and Fog,"A cloth bag containing ten copies of the title, that may also include a folder with miscellaneous notes, dicussion questions, biographical information, and reading lists to assist book group dicussion leaders.",Andre Dubus,2000,Vintage,372,Fiction
0316284955,"","","","","",0,""
0373708726,"","","","","",0,""
0446610879,"","","","","",0,""
0394543963,"","","","","",0,""
0804119716,Out of Control,"Bestselling author Suzanne Brockmann knows how to push the limits of romantic suspense to new, breathtaking heights. Potent, gripping, and explosive, OUT OF CONTROL is a roller coaster ride of a novel– as a single act of loyalty becomes a desperate struggle for survival. . . . Savannah von Hopf has no choice. To save her uncle’s life, she goes in search of Ken “WildCard” Karmody, a guy she barely knew in college who is now a military operative. She must convince him to help her deliver a cache of ransom money into the hands of terrorists halfway around the world. What she doesn’t expect is to end up in WildCard’s arms before she can even ask for his help. WildCard has always had a soft spot for beautiful women. But when he discovers Savannah’s hidden agenda, he is determined to end the affair. But Savannah is bound for Indonesia with or without his protection, and he can’t just walk away. When her plan goes horribly wrong, they are trapped in the forsaken jungle of a hostile country, stalked by a lethal enemy. As time is running out, they scramble to escape, risking their lives to stop a nightmare from spinning even further out of control. . . .",Suzanne Brockmann,2002-02-26,Ballantine Books,480,Fiction
0380718340,"","","","","",0,""
0380819627,"","","","","",0,""
0446607711,"","","","","",0,""
044017158X,"","","","","",0,""
0425147622,"","","","","",0,""
0451183665,"","","","","",0,""
0060532149,"","","","","",0,""
0525946063,"","","","","",0,""
0671867156,"","","","","",0,""
0553250531,"","","","","",0,""
0142000205,"","","","","",0,""
0761129758,"","","","","",0,""
0553263226,"","","","","",0,""
0449206459,"","","","","",0,""
0446525774,"","","","","",0,""
0786889667,"","","","","",0,""
0671759345,"","","","","",0,""
0198607024,"","","","","",0,""
0449223604,"","","","","",0,""
0553100157,Breakfast in Bed,"When a dashing mystery writer steps into Sloan Fairchild's bed-and-breakfast, she finds herself acting out scenes from his latest novel--in his arms. Their attraction is more than make-believe, but so is the conflict separating them, forcing Sloan to choose between a lover's embrace and a friend's loyalty. Copyright © Libri GmbH. All rights reserved.",Sandra Brown,1983,Bantam,252,Fiction
0385337639,"","","","","",0,""
0140622179,"","","","","",0,""
0767902076,"","","","","",0,""
0821772287,"","","","","",0,""
0451159098,"","","","","",0,""
0345391055,"","","","","",0,""
0679723420,Pale Fire,"A darkly comic novel of suspense, literary idolatry and one-upmanship, and political intrigue from one of the leading writers of the twentieth century, the acclaimed author of Lolita. \"Half-poem, half-prose...a creation of perfect beauty, symmetry, strangeness, originality and moral truth. One of the great works of art of this century.\" —Mary McCarthy, New York Times bestselling author of The Group An ingeniously constructed parody of detective fiction and learned commentary, Pale Fire offers a cornucopia of deceptive pleasures, at the center of which is a 999-line poem written by the literary genius John Shade just before his death. Surrounding the poem is a foreword and commentary by the demented scholar Charles Kinbote, who interweaves adoring literary analysis with the fantastical tale of an assassin from the land of Zembla in pursuit of a deposed king. Brilliantly constructed and wildly inventive, Vladimir Nabokov's witty novel achieves that rarest of things in literature—perfect tragicomic balance.",Vladimir Nabokov,1989-04-23,Vintage,321,Fiction
067976402X,"","","","","",0,""
0963270702,The Satanic Verses,"Just before dawn one winter's morning, a hijacked aeroplane blows apart high above the English Channel and two figures tumble, clutched in an embrace, towards the sea- Gibreel Farishta, India's legendary movie star, and Saladin Chamcha, the man of a thousand voices. Washed up, alive, on an English beach, their survival is a miracle. But there is a price to pay. Gibreel and Saladin have been chosen as opponents in the eternal wrestling match between Good and Evil. But chosen by whom? And which is which? And what will be the outcome of their final confrontation?",Salman Rushdie,1992,Random House,69,Fiction
051513452X,The Lunatic Cafe,"Anita has fallen for the leader of a local pack of werewolves. She's survived a lot, but this love thing may kill her yet.",Laurell K. Hamilton,2002-09-24,Berkley,250,Fiction
0446601241,"","","","","",0,""
0515110396,"","","","","",0,""
0553295780,"","","","","",0,""
0312305060,"","","","","",0,""
0440219248,"","","","","",0,""
0312925883,"","","","","",0,""
0515117617,"","","","","",0,""
060980877X,"","","","","",0,""
0446327069,"","","","","",0,""
0373790961,"","","","","",0,""
0670878103,"","","","","",0,""
0671721542,"","","","","",0,""
0440400597,All-of-a-Kind Family,"Meet the All-of-a-Kind Family -- Ella, Henny, Sarah, Charlotte, and Gertie -- who live with their parents in New York City at the turn of the century. Together they share adventures that find them searching for hidden buttons while dusting Mama's front parlor and visiting with the peddlers in Papa's shop on rainy days. The girls enjoy doing everything together, especially when it involves holidays and surprises. But no one could have prepared them for the biggest surprise of all!",Sydney Taylor,1979,Yearling,196,Juvenile Fiction
014028009X,"","","","","",0,""
0758204175,"","","","","",0,""
0446321095,"","","","","",0,""
0449214192,"","","","","",0,""
0743418174,"","","","","",0,""
0440222656,"","","","","",0,""
0375706771,"","","","","",0,""
0060199652,"","","","","",0,""
038081479X,"","","","","",0,""
0399141383,"","","","","",0,""
0679759336,"","","","","",0,""
0380711699,"","","","","",0,""
0671670913,"","","","","",0,""
0141301120,"","","","","",0,""
0553285246,"","","","","",0,""
0380789949,"","","","","",0,""
0449131793,Barrier Island,"There are two kinds of men in Mississippi. They make natural enemies. And sometimes, but only if the balance between strength and weakness tips too far, unnatural allies. Tucker Loomis is a hard and dangerous man with a ruthlessness all West Bay fears and respects, and an improbable amount of money. Wade Rowley is a common man who aspires to honor but gets caught up in the footwork of a skilled swindler. In a pitiless game, with a few harsh rules and just one way of keeping score, the wrong man will die. And another will get away with more than murder. \"Lively, gritty . . . complex and convincing . . . Mr. MacDonald writes with passion!\" -- The New York Times Book Review",John D. MacDonald,1987,Fawcett,276,Fiction
0553256092,"","","","","",0,""
0446605484,"","","","","",0,""
0373291493,"","","","","",0,""
0375725784,A Heartbreaking Work of Staggering Genius,"NATIONAL BESTSELLER • PULITZER PRIZE FINALIST • A \"A beautifully ragged, laugh-out-loud funny and utterly unforgettable book\" (San Francisco Chronicle) that redefines both family and narrative. • From the bestselling author of The Circle. A Heartbreaking Work of Staggering Genius is the moving memoir of a college senior who, in the space of five weeks, loses both of his parents to cancer and inherits his eight-year-old brother. This exhilarating debut that manages to be simultaneously hilarious and wildly inventive as well as a deeply heartfelt story of the love that holds a family together.",Dave Eggers,2001,Vintage,500,Biography & Autobiography
0380975343,"","","","","",0,""
0345272463,"","","","","",0,""
0425174654,By Hook Or by Book,"Reference librarian Megan Clark has a passion for fictional crime--but when she and her fellow book group members go from reading mysteries to solving them, they discover that real-life crime is more complex than the most puzzling mystery.",Doris R. Meredith,2000,Berkley,0,Amarillo (Tex.)
0425097722,"","","","","",0,""
0804111421,"","","","","",0,""
0590483501,"","","","","",0,""
0515101486,"","","","","",0,""
0375708278,"","","","","",0,""
1582341338,"","","","","",0,""
0449227847,"","","","","",0,""
0892550147,"","","","","",0,""
1551666170,"","","","","",0,""
0373708041,"","","","","",0,""
0553561359,"","","","","",0,""
0812531108,"","","","","",0,""
0553582135,"","","","","",0,""
0452282829,"","","","","",0,""
0345347951,"","","","","",0,""
1551664348,"","","","","",0,""
0525946896,"","","","","",0,""
0671741039,"","","","","",0,""
1573227889,"","","","","",0,""
0836220676,"","","","","",0,""
0749324740,"","","","","",0,""
0449910644,"","","","","",0,""
0374413312,"","","","","",0,""
0345439244,Remembering Blue,"Recently widowed Mattie Blue recalls her life with her beloved husband, Nick.",Connie May Fowler,2000,Ballantine Books,320,Fiction
0061032042,"","","","","",0,""
0380973820,"","","","","",0,""
0375726403,"","","","","",0,""
0385182449,"","","","","",0,""
0812550943,"","","","","",0,""
0836218256,Something Under the Bed Is Drooling,Another collection of Calvin and Hobbes comics.,Bill Watterson,1988,Andrews McMeel Publishing,132,Comics & Graphic Novels
0440237262,"","","","","",0,""
0802150616,"","","","","",0,""
0449244741,"","","","","",0,""
0440241537,The King of Torts,The author presents his latest novel of courtroom and legal suspense.,John Grisham,2003,Dell,482,Fiction
1573220280,"","","","","",0,""
0373790465,One-Night Man,"One-Night Man by Jeanie London released on May 25, 2002 is available now for purchase.",Jeanie London,2002,Harlequin Books,260,Fiction
345387319X,"","","","","",0,""
0553563335,"","","","","",0,""
0836212002,"","","","","",0,""
0330294911,"","","","","",0,""
0609606727,"","","","","",0,""
0345316770,"","","","","",0,""
0312985207,"","","","","",0,""
0374189870,"","","","","",0,""
0399146652,"","","","","",0,""
155874262X,"","","","","",0,""
0061093335,"","","","","",0,""
0743225082,"","","","","",0,""
0060509465,"","","","","",0,""
0451210158,"","","","","",0,""
0140298479,"","","","","",0,""
