isbn,title,authors,description,subjects,text,wiki_description
0373243502,At The Heart'S Command (A Place Called Home) (Silhouette 1350 : a Place Called Home),Patricia McLinn,,"Fiction, romance, general","At The Heart'S Command (A Place Called Home) (Silhouette 1350 : a Place Called Home) Patricia McLinn Fiction, romance, general",
0373272960,Private maneuvers,"Mann, Catherine.",,"Intelligence officers, United States. Air Force, Officials and employees, United States. Central Intelligence Agency, Fiction, United States, Suspense, Undercover operations, Women air pilots, Suspense & Adventure, Fiction, romance, general","Private maneuvers Mann, Catherine. Intelligence officers, United States. Air Force, Officials and employees, United States. Central Intelligence Agency, Fiction, United States, Suspense, Undercover operations, Women air pilots, Suspense & Adventure, Fiction, romance, general",
0373707223,See No Evil,Morgan Hayes,,"Fiction, general","See No Evil Morgan Hayes Fiction, general","See No Evil is part of the adage ""see no evil, hear no evil, speak no evil."""
0394883209,The teeny tiny woman,Jane O'Connor,,"Ghosts, Folklore, Accelerated Reader, Juvenile literature, Children's fiction, Ghost stories, Folklore, england","The teeny tiny woman Jane O'Connor Ghosts, Folklore, Accelerated Reader, Juvenile literature, Children's fiction, Ghost stories, Folklore, england",
0425077837,Mask,John Minahan,,,Mask John Minahan,"A mask is an object normally worn on the face, typically for protection, disguise, performance, or entertainment, and often employed for rituals and rites. Masks have been used since antiquity for both ceremonial and practical purposes, as well as in the performing arts and for entertainment. They are usually worn on the face, although they may also be positioned for effect elsewhere on the wearer's body."
0515130990,Beyond Innocence,Emma Holly,,"Fiction, Romance, Historical""","Beyond Innocence Emma Holly Fiction, Romance, Historical""",
0553441590,In a golden web,Courtney Henke,,,In a golden web Courtney Henke,
0590441434,Even more tales for the midnight hour,Judith Bauer Stamper,,"Horror tales, Short stories, Young adult literature, Children's fiction, Horror stories, Scary stories","Even more tales for the midnight hour Judith Bauer Stamper Horror tales, Short stories, Young adult literature, Children's fiction, Horror stories, Scary stories",
0618055444,The red wolf,Margaret Shannon,,"Fairy tales, Knitting, Princesses, Fiction, Parodies, imitations, Juvenile fiction, Kings and rulers, Liberty, Fathers and daughters, Children's fiction, Princesses, fiction","The red wolf Margaret Shannon Fairy tales, Knitting, Princesses, Fiction, Parodies, imitations, Juvenile fiction, Kings and rulers, Liberty, Fathers and daughters, Children's fiction, Princesses, fiction",
0810941570,Hollywood moms,Joyce Ostin,,"Actresses, Portraits, Pictorial works, Mothers and daughters, Women motion picture producers and directors, Women entertainers, Photography of women","Hollywood moms Joyce Ostin Actresses, Portraits, Pictorial works, Mothers and daughters, Women motion picture producers and directors, Women entertainers, Photography of women",
0816704686,Great ghost stories,"Algernon Blackwood, E. F. Benson, Bram Stoker, Guy de Maupassant, Ambrose Bierce, J. S. LeFanu, E. F. Benson",,"Ghost stories, Short stories","Great ghost stories Algernon Blackwood, E. F. Benson, Bram Stoker, Guy de Maupassant, Ambrose Bierce, J. S. LeFanu, E. F. Benson Ghost stories, Short stories",
0671787454,The Girls He Adored,Jonathan Nasaw,,"Serial murders, fiction, Fiction, thrillers, suspense, Fiction, psychological","The Girls He Adored Jonathan Nasaw Serial murders, fiction, Fiction, thrillers, suspense, Fiction, psychological",
068815252X,Book,Whoopi Goldberg,,"Biography, American wit and humor, Comedians, Motion picture actors and actresses, Goldberg, whoopi, 1950-, Women comedians, African american women, Celebrities, American essays","Book Whoopi Goldberg Biography, American wit and humor, Comedians, Motion picture actors and actresses, Goldberg, whoopi, 1950-, Women comedians, African american women, Celebrities, American essays","A book is a structured presentation of recorded information, primarily verbal and graphical, through a medium. Originally physical, electronic books and audiobooks are now existent. Physical books are objects that contain printed material, mostly of writing and images."
1558509070,Knock 'em dead,Martin John Yate,,"Employment interviewing, Entretiens d'embauche, Handbooks, manuals, Interviewing, Job Application, Job hunting, Job search, Recherche d'emploi, Employment, Interviews as Topic","Knock 'em dead Martin John Yate Employment interviewing, Entretiens d'embauche, Handbooks, manuals, Interviewing, Job Application, Job hunting, Job search, Recherche d'emploi, Employment, Interviews as Topic",
0671666401,Surrender the pink,Carrie Fisher,,"Fiction, Interpersonal attraction, Love stories, Fiction, general","Surrender the pink Carrie Fisher Fiction, Interpersonal attraction, Love stories, Fiction, general",
0704300087,,,,,,Nan or NAN may refer to:
0723215812,The observer's book of music,Freda Dinn,,"Acoustics and physics, Dictionaries, Music, Musical instruments, Music, dictionaries","The observer's book of music Freda Dinn Acoustics and physics, Dictionaries, Music, Musical instruments, Music, dictionaries",
0723216657,The New Observer's Book of Pets (New Observer's Pocket S.),Tina Hearne,,Pets,The New Observer's Book of Pets (New Observer's Pocket S.) Tina Hearne Pets,
089577951X,Illustrated reverse dictionary,Reader's Digest,,,Illustrated reverse dictionary Reader's Digest,
1857975049,Vegetarian Slimming,Rose Elliot,,"Reducing diets, Recipes, Vegetarian cooking, Reducing diets, recipes","Vegetarian Slimming Rose Elliot Reducing diets, Recipes, Vegetarian cooking, Reducing diets, recipes",
8321329519,Jan Matejko,Janusz Maciej Michałowski,,"Catalogs, Poland in art, In art","Jan Matejko Janusz Maciej Michałowski Catalogs, Poland in art, In art","Jan Alojzy Matejko (Polish pronunciation: [ˈjan aˈlɔjzɨ maˈtɛjkɔ] ; also known as Jan Mateyko; 24 June 1838 – 1 November 1893) was a Polish painter, a leading 19th-century exponent of history painting, known for depicting nodal events from Polish history. His works include large scale oil paintings such as Stańczyk (1862), Rejtan (1866), Union of Lublin (1869), Astronomer Copernicus, or Conversations with God (1873), or Battle of Grunwald (1878). He was the author of numerous portraits, a gallery of Polish monarchs in book form, and murals in St."
0160359465,On Course to Desert Storm,S/N 008-046-00146-4,,"Relations, History, Naval History, Foreign relations, United States. Navy, United States, Persian gulf war, 1991, United states, navy, history","On Course to Desert Storm S/N 008-046-00146-4 Relations, History, Naval History, Foreign relations, United States. Navy, United States, Persian gulf war, 1991, United states, navy, history",
0373223137,A Killer Smile,Laura Kenner,,"Fiction, mystery & detective, general","A Killer Smile Laura Kenner Fiction, mystery & detective, general",
0515109746,The hellion bride,Catherine Coulter,,"Ficción, Fiction, Man-woman relationships, Relaciones hombre-mujer, Large type books, Fiction, romance, historical, general, Fiction, romance, general, Jamaica, fiction, Man-woman relationships, fiction","The hellion bride Catherine Coulter Ficción, Fiction, Man-woman relationships, Relaciones hombre-mujer, Large type books, Fiction, romance, historical, general, Fiction, romance, general, Jamaica, fiction, Man-woman relationships, fiction",
0671667041,Strangers,Rosie Thomas,,,Strangers Rosie Thomas,"A stranger is a person who is unknown or unfamiliar to another person or group. Because of this unknown status or unfamiliarity, a stranger may be perceived as a threat until their identity and character can be ascertained. Different classes of strangers have been identified for social science purposes, and the tendency for strangers and foreigners to overlap has been examined."
0803258496,Willa Cather living,Edith Lewis,,"American Novelists, Friends and associates, Biography, Friendship, Cather, willa, 1873-1947","Willa Cather living Edith Lewis American Novelists, Friends and associates, Biography, Friendship, Cather, willa, 1873-1947",
0821736264,Viking Captive,Emma Merritt,,,Viking Captive Emma Merritt,
0345284356,Enemies,"Harris, Richard",,,"Enemies Harris, Richard",Enemies or foes are a group that is seen as forcefully adverse or threatening.
0440050855,"Loving sands, deadly sands",Charity Blackstock,,"Fiction, romance, suspense","Loving sands, deadly sands Charity Blackstock Fiction, romance, suspense",
0060652802,Glimpses of grace,Madeleine L'Engle,,"Meditations, Devotional calendars, Inspiration","Glimpses of grace Madeleine L'Engle Meditations, Devotional calendars, Inspiration",
0151402167,Hideous kinky,Esther Freud,,"Mothers and daughters, Fiction, Literature, Hippies, Fiction, general, Mothers and daughters, fiction, Africa, fiction, Fiction, media tie-in","Hideous kinky Esther Freud Mothers and daughters, Fiction, Literature, Hippies, Fiction, general, Mothers and daughters, fiction, Africa, fiction, Fiction, media tie-in",
0312956126,The scold's bridle,Minette Walters,,"Women physicians, Fiction, Fiction, mystery & detective, traditional, England, fiction","The scold's bridle Minette Walters Women physicians, Fiction, Fiction, mystery & detective, traditional, England, fiction",
0312968973,Canapes for the kitties.,Marian Babson,,"Authors, Fiction, Cats, City and town life, England, Large type books, England, fiction, Fiction, mystery & detective, traditional, Cat owners, fiction, Fiction, mystery & detective, women sleuths","Canapes for the kitties. Marian Babson Authors, Fiction, Cats, City and town life, England, Large type books, England, fiction, Fiction, mystery & detective, traditional, Cat owners, fiction, Fiction, mystery & detective, women sleuths",
0449147231,We Wish You a Merry Murder,Valerie Wolzien,,Detective and mystery stories,We Wish You a Merry Murder Valerie Wolzien Detective and mystery stories,
0451187482,Dominion,Bentley Little,,"Fiction, horror","Dominion Bentley Little Fiction, horror","A dominion was any of several largely self-governing countries of the British Empire, once known collectively as the British Commonwealth of Nations. Progressing from colonies, their degrees of colonial self-governance increased (and, in some cases, decreased) unevenly over the late 19th century through the 1930s. Vestiges of empire lasted in some dominions well into the late 20th century."
0452283825,Baggage,Emily Barr,,"British, Fiction, Fugitives from justice, False testimony, Identity (Psychology), Fiction, general, Australia, fiction","Baggage Emily Barr British, Fiction, Fugitives from justice, False testimony, Identity (Psychology), Fiction, general, Australia, fiction","Baggage, or luggage, consists of bags, cases, and containers which hold a traveler's personal articles while the traveler is in transit. A modern traveler can be expected to have packages containing clothing, toiletries, small possessions, trip necessities. On the return trip, travelers may have souvenirs and gifts."
0553276085,Honeymoon with [love] murder,Carolyn G. Hart,,"Detective and mystery stories, Fiction, mystery & detective, general, Darling, annie laurance (fictitious character), fiction, Broward's rock (s.c. : imaginary place), fiction, Booksellers and bookselling, fiction","Honeymoon with [love] murder Carolyn G. Hart Detective and mystery stories, Fiction, mystery & detective, general, Darling, annie laurance (fictitious character), fiction, Broward's rock (s.c. : imaginary place), fiction, Booksellers and bookselling, fiction",
0842311645,Finders keepers,Catherine Palmer,,"Adopted children, Antique dealers, Architects, Fiction, Romance, Inheritance and succession, Mansions, Large type books","Finders keepers Catherine Palmer Adopted children, Antique dealers, Architects, Fiction, Romance, Inheritance and succession, Mansions, Large type books","Finders keepers, sometimes extended as the children's rhyme finders keepers, losers weepers, is an English adage with the premise that when something is unowned or abandoned, whoever finds it first may claim it for themselves to own, by the “first in time” legal standard. The phrase relates to an ancient Roman law of similar meaning and has been expressed in various ways over the centuries. It can be uncertain, however, just when or how something is unowned or abandoned, and a party other than the finder may lay claim to it, leading to legal or ethical disputes, whose findings different courts or jurisdictions may interpret differently."
0887437729,Phonics,"Arlene Henkel, School Zone Publishing Company Staff, Julie Orr, Rogalla",,"Phonetic spelling, Phonetic method, Phonetics, Reading, English language, Study and teaching (Elementary), Juvenile Nonfiction, Education / Teaching, Children: Kindergarten, Activity Books - General, Teaching Methods & Materials - Language Arts, ENGLISH LANGUAGE_STUDY AND TEACHING (ELEMENTARY), Language Arts & Disciplines / Study & Teaching, Readers - Beginner, English language, study and teaching (elementary)","Phonics Arlene Henkel, School Zone Publishing Company Staff, Julie Orr, Rogalla Phonetic spelling, Phonetic method, Phonetics, Reading, English language, Study and teaching (Elementary), Juvenile Nonfiction, Education / Teaching, Children: Kindergarten, Activity Books - General, Teaching Methods & Materials - Language Arts, ENGLISH LANGUAGE_STUDY AND TEACHING (ELEMENTARY), Language Arts & Disciplines / Study & Teaching, Readers - Beginner, English language, study and teaching (elementary)","Phonics is a method for teaching reading and writing to beginners. To use phonics is to teach the relationship between the sounds of the spoken language (phonemes), and the letters (graphemes) or groups of letters or syllables of the written language. Phonics is also known as the alphabetic principle or the alphabetic code."
0140088083,The Russian album,Michael Ignatieff,,"Biography, Biography & Autobiography, Family, Ignatieff, Michael, Michael Ignatieff, Nobility, Nonfiction, Families, Princes and princesses, Politicians, Histoire, U.R.S.S, Famille, Noblesse, History, Nobility, russia, Belarus, biography","The Russian album Michael Ignatieff Biography, Biography & Autobiography, Family, Ignatieff, Michael, Michael Ignatieff, Nobility, Nonfiction, Families, Princes and princesses, Politicians, Histoire, U.R.S.S, Famille, Noblesse, History, Nobility, russia, Belarus, biography",
0156007819,Eucalyptus,Murray Bail,,"Fiction, Eucalyptus, Storytelling, Fathers and daughters, Identification, Translations into Norwegian, Australian fiction, Translations from Australian, Norwegian fiction, Fiction, general, Australia, fiction, Fathers and daughters, fiction","Eucalyptus Murray Bail Fiction, Eucalyptus, Storytelling, Fathers and daughters, Identification, Translations into Norwegian, Australian fiction, Translations from Australian, Norwegian fiction, Fiction, general, Australia, fiction, Fathers and daughters, fiction","Eucalyptus () is a genus of more than 700 species of flowering plants in the family Myrtaceae. Most species of Eucalyptus are trees, often mallees, and a few are shrubs. Along with several other genera in the tribe Eucalypteae, including Corymbia and Angophora, they are commonly known as eucalypts or ""gum trees""."
0312022506,Masterpieces of fantasy and enchantment,"David G. Hartwell, Kathryn Cramer",,"English Fantasy fiction, American Fantasy fiction, Fantasy fiction","Masterpieces of fantasy and enchantment David G. Hartwell, Kathryn Cramer English Fantasy fiction, American Fantasy fiction, Fantasy fiction",
0393306577,The savage god,"Alvarez, A.",,"Suicide, Suicide in literature, Fiction, general","The savage god Alvarez, A. Suicide, Suicide in literature, Fiction, general",
0394710959,The summer before the dark,Doris Lessing,,"Women, Women in fiction, Fiction, Aging, Sex role, Marriage, Loneliness, Domestic fiction, British and irish fiction (fictional works by one author), Fiction, family life, general","The summer before the dark Doris Lessing Women, Women in fiction, Fiction, Aging, Sex role, Marriage, Loneliness, Domestic fiction, British and irish fiction (fictional works by one author), Fiction, family life, general",
067175145X,The Way Things Ought to Be,Rush Limbaugh,,"Social conditions, Politics and government, Social problems, Large type books, United states, politics and government, 1989-1993, United states, social conditions, 1980-, Humor, general","The Way Things Ought to Be Rush Limbaugh Social conditions, Politics and government, Social problems, Large type books, United states, politics and government, 1989-1993, United states, social conditions, 1980-, Humor, general","Rush Hudson Limbaugh III ( LIM-baw; January 12, 1951 – February 17, 2021) was an American conservative political commentator who was the host of The Rush Limbaugh Show, which first aired in 1984 and was nationally syndicated on AM and FM radio stations from 1988 until his death in 2021.
Limbaugh became one of the most prominent conservative voices in the United States during the 1990s and hosted a national television show from 1992 to 1996. He was among the most highly paid figures in American radio history; in 2018 Forbes listed his earnings at $84.5 million."
0684812045,Confessions of a late night talk show host,Garry Shandling,,"American wit and humor, Larry Sanders show, Television personalities, Humor, Talk shows, New York Times reviewed, Humor, general","Confessions of a late night talk show host Garry Shandling American wit and humor, Larry Sanders show, Television personalities, Humor, Talk shows, New York Times reviewed, Humor, general",
0688001602,Buried alive,Myra Friedman,,"Biografía, Biography, Cantantes, Músicos de rock, Rock musicians, Singers, Women rock musicians, Joplin, janis, 1943-1970, Singers, united states, Singers, biography, Rock musicians, united states, Rock musicians, biography","Buried alive Myra Friedman Biografía, Biography, Cantantes, Músicos de rock, Rock musicians, Singers, Women rock musicians, Joplin, janis, 1943-1970, Singers, united states, Singers, biography, Rock musicians, united states, Rock musicians, biography","Premature burial, also known as live burial, burial alive, or vivisepulture, means to be buried while still alive.
Animals or humans may be buried alive accidentally on the mistaken assumption that they are dead, or intentionally as a form of torture, murder, or execution. It may also occur with the consent of the victim as a part of a stunt, with the intention to escape."
0848715675,Our best five-star recipes.,Leisure Arts Staff,,"American Cookery, American Cooking, Cooking, american, southern style","Our best five-star recipes. Leisure Arts Staff American Cookery, American Cooking, Cooking, american, southern style",
0913780022,Rubyfruit Jungle,Rita Mae Brown,,"Lesbians, Fiction, Fiction in English, Sexuality, Fiction, lesbian, LGBTQ novels, Fiction, lgbtq+, lesbian","Rubyfruit Jungle Rita Mae Brown Lesbians, Fiction, Fiction in English, Sexuality, Fiction, lesbian, LGBTQ novels, Fiction, lgbtq+, lesbian","Rubyfruit Jungle is the first novel by Rita Mae Brown.  Published in 1973, it was remarkable in its day for its explicit portrayal of lesbianism. The novel is a coming-of-age autobiographical account of Brown's youth and emergence as a lesbian author."
1558504338,Knock 'em dead,Martin John Yate,,"Employment interviewing, Entretiens d'embauche, Handbooks, manuals, Interviewing, Job Application, Job hunting, Job search, Recherche d'emploi, Employment, Interviews as Topic","Knock 'em dead Martin John Yate Employment interviewing, Entretiens d'embauche, Handbooks, manuals, Interviewing, Job Application, Job hunting, Job search, Recherche d'emploi, Employment, Interviews as Topic",
0345409663,Servant of the bones,"Anne Rice, Mariah McCourt, Renae De Liz, Ray Dillon, Michael Cumpsty",,"Jews, Spirits, Fantasy fiction, Espíritus, Judíos, Fiction, Historia, Historical fiction, Occult fiction, Viajes a través del tiempo, Ficción, Time travel, History, Fiction, occult & supernatural, Fiction, thrillers, general, Azriel, servant of the bones (fictitious character), fiction, Large type books, Supernatural, Occult, Fiction, horror, Fiction, fantasy, general, Jews, fiction, Comics & graphic novels, fantasy, Fiction, general","Servant of the bones Anne Rice, Mariah McCourt, Renae De Liz, Ray Dillon, Michael Cumpsty Jews, Spirits, Fantasy fiction, Espíritus, Judíos, Fiction, Historia, Historical fiction, Occult fiction, Viajes a través del tiempo, Ficción, Time travel, History, Fiction, occult & supernatural, Fiction, thrillers, general, Azriel, servant of the bones (fictitious character), fiction, Large type books, Supernatural, Occult, Fiction, horror, Fiction, fantasy, general, Jews, fiction, Comics & graphic novels, fantasy, Fiction, general",Servant of the Bones (1996) is a historical horror novel by Anne Rice.
0451170822,Houses without doors,Peter Straub,,"American Short stories, Fiction, horror","Houses without doors Peter Straub American Short stories, Fiction, horror",
0764221566,A quiet strength,Janette Oke,,"Large type books, Married women, Fiction, Fiction, romance, general, Young women","A quiet strength Janette Oke Large type books, Married women, Fiction, Fiction, romance, general, Young women",
0373031165,Love's Awakening (EasyRead Print)  (First Class; Greece),Rachel Ford,,"Fiction, general","Love's Awakening (EasyRead Print)  (First Class; Greece) Rachel Ford Fiction, general",
0516026674,Let's Talk About Cheating,Joy Berry,,"Juvenile literature, Conduct of life, Cheating, Honesty, Truthfulness and falsehood, Winning and losing, Family, Education, Values, juvenile literature, Fraud, Fraud, juvenile literature, Children, Child psychology, Honnêteté, Ouvrages pour la jeunesse, Enfants, Morale pratique, Psychologie","Let's Talk About Cheating Joy Berry Juvenile literature, Conduct of life, Cheating, Honesty, Truthfulness and falsehood, Winning and losing, Family, Education, Values, juvenile literature, Fraud, Fraud, juvenile literature, Children, Child psychology, Honnêteté, Ouvrages pour la jeunesse, Enfants, Morale pratique, Psychologie",
0821710680,Love Letters,Eli Cantor,,Large type books,Love Letters Eli Cantor Large type books,A love letter is a romantic way to express feelings of love in written form.
0451200861,I ain't got time to bleed,Jesse Ventura,,"Governors, Biography, Politics and government, United States, Biographies, Large type books, United states, politics and government, 1993-2001, Ventura, jesse, 1951-, Minnesota, politics and government, Governors, united states","I ain't got time to bleed Jesse Ventura Governors, Biography, Politics and government, United States, Biographies, Large type books, United states, politics and government, 1993-2001, Ventura, jesse, 1951-, Minnesota, politics and government, Governors, united states",
0553571907,Mischief,Jayne Ann Krentz,,"Fiction, Romance, Love stories, Revenge, Historical fiction, Romance fiction, Regency fiction, Historical Romance, Large type books, Fiction, romance, historical, general, England, fiction","Mischief Jayne Ann Krentz Fiction, Romance, Love stories, Revenge, Historical fiction, Romance fiction, Regency fiction, Historical Romance, Large type books, Fiction, romance, historical, general, England, fiction","Mischief (or malicious mischief) is the name for a class of criminal offenses that are defined differently in different legal jurisdictions. While the wrongful acts will often involve what is popularly described as vandalism, there can be a legal differentiation between vandalism and mischief. The etymology of the word comes from Old French meschief, which means ""misfortune"", from meschever, ""to end badly""."
0671782622,Confession,Nancy Pickard,,"Women detectives, Jenny Cain (Fictitious character), Fiction, Prostitutes, Fiction, mystery & detective, women sleuths, Cain, jenny (fictitious character), fiction, Massachusetts, fiction","Confession Nancy Pickard Women detectives, Jenny Cain (Fictitious character), Fiction, Prostitutes, Fiction, mystery & detective, women sleuths, Cain, jenny (fictitious character), fiction, Massachusetts, fiction","A confession is a statement – made by a person or by a group of people – acknowledging some personal fact that the person (or the group) would ostensibly prefer to keep hidden. The term presumes that the speaker is providing information that they believe the other party is not already aware of, and is frequently associated with an admission of a moral or legal wrong:

In one sense it is the acknowledgment of having done something wrong, whether on purpose or not. Thus confessional texts usually provide information of a private nature previously unavailable."
0671822667,Loves Been Good Me,Rod mckuen,,American poetry,Loves Been Good Me Rod mckuen American poetry,
1573228311,The Wholeness of a Broken Heart,Katie Singer,,"Fiction, Jews, Fiction, sagas, Jews, fiction, Fiction, general, New york (n.y.), fiction, Jewish families, Family","The Wholeness of a Broken Heart Katie Singer Fiction, Jews, Fiction, sagas, Jews, fiction, Fiction, general, New york (n.y.), fiction, Jewish families, Family",
0373710151,Winter Baby,Kathleen O'Brien,,"Fiction, Contemporary Romance, Pregnant woman, sheriff, schoolteacher, Harlequin Super Romance, Four Seasons in Firefly Glen series","Winter Baby Kathleen O'Brien Fiction, Contemporary Romance, Pregnant woman, sheriff, schoolteacher, Harlequin Super Romance, Four Seasons in Firefly Glen series",
038000652,,,,,,Nan or NAN may refer to:
0345467612,Louisiana Dawn,Jennifer Blake,,"collectionID:Abodice_ripper, Fiction, romance, historical, Fiction, romance, historical, general, Historical Romance, Bodice Ripper, Louisiana History","Louisiana Dawn Jennifer Blake collectionID:Abodice_ripper, Fiction, romance, historical, Fiction, romance, historical, general, Historical Romance, Bodice Ripper, Louisiana History",
0440415802,Summer of the Monkeys,Wilson Rawls,,"Children's fiction, Monkeys, fiction, Oklahoma, fiction, Monkeys, Fiction, Large type books, Juvenile fiction, Families, Dogs, Trapping, Summer, fiction","Summer of the Monkeys Wilson Rawls Children's fiction, Monkeys, fiction, Oklahoma, fiction, Monkeys, Fiction, Large type books, Juvenile fiction, Families, Dogs, Trapping, Summer, fiction",Summer of the Monkeys is a 1976 children's story written by Wilson Rawls. It was published by Doubleday (later released by Yearling Books) and was the winner of the William Allen White Book Award and the California Young Reader Medal.
0448424525,Wizard Of Oz,L. Frank Baum,,"Witches, Toy and movable books, Spanish language materials, Fiction, Wizards, Juvenile literature, Wizards in fiction, Children's stories, Russian, Specimens, Imaginary voyages in fiction, Classic Literature, Imaginary Voyages, Children's stories, American, Adventure and adventurers, Open Library Staff Picks, Books and reading, Children's stories, Witches in fiction, History, Juvenile fiction, Latin language materials, Fairy tales, Children, Contes americains, Ouvrages pour la jeunesse, Fantasy, Fantasy fiction, Fantastic fiction, Novela fantástica, Fantasía, Teenage girls, Quests (Expeditions), Oz (Imaginary place), Children's fiction, Oz (imaginary place), fiction, Fiction, fantasy, general, Young adult fiction, Fiction, science fiction, general, Wizards, fiction, Fantasy & Magic, Classics, Literature and fiction, juvenile, American Fantasy fiction, History and criticism, Dorothy Gale (Fictional character), French language materials, American literature, Children: Babies Toddlers, Wizard of Oz (Fictitious character), Friendship, Courage, Adventure stories, Dorothy Gale (Fictitious character), Children's literature, General, Contes américains, Roman pour la jeunesse, Contes, Tong hua, Er tong wen xue, Han yu pin yin, Er tong du wu, Translations into Chinese, Suo xie ben, Chinese language materials, Ying yu, Dui zhao du wu, Han yu, Pictorial works, Robots, fiction, Science fiction, Criticism and interpretation, Wizard of Oz (Baum, L. Frank), Fiction, general, Film adaptations, Oz (Imaginary place) -- Juvenile fiction, Fantasy literature, Courage -- Juvenile fiction, Home -- Juvenile fiction, Good and evil -- Juvenile fiction, Dreams -- Juvenile fiction, Gale, Dorothy (Fictitious character) -- Juvenile fiction, Cowardly Lion (Fictitious character) -- Juvenile fiction, Cyclones -- Juvenile fiction, Scarecrow (Fictitious character from Baum) -- Juvenile fiction, Toto (Fictitious character) -- Juvenile fiction, Witches -- Juvenile fiction, Wizard of Oz (Fictitious character) -- Juvenile fiction, Tin Woodman (Fictitious character) -- Juvenile fiction, Adventure and adventurers, fiction, Witches, fiction, Scarecrow (Fictitious character : Baum), Tin Woodman (Fictitious character), Cowardly Lion (Fictitious character), Oz (Lieu imaginaire), Romans, nouvelles, etc. pour la jeunesse, Friendship, fiction, People with disabilities, fiction, Great britain, fiction, American fiction (fictional works by one author), Picture books, Fables, Toto (Fictitious character), Good and evil, Motion picture plays, Juvenile drama, JUVENILE FICTION / Fantasy & Magic, Fiction, action & adventure, Jeugdboeken ; verhalen, Literature and fiction (general), Drama, Illustrations, Long Now Manual for Civilization","Wizard Of Oz L. Frank Baum Witches, Toy and movable books, Spanish language materials, Fiction, Wizards, Juvenile literature, Wizards in fiction, Children's stories, Russian, Specimens, Imaginary voyages in fiction, Classic Literature, Imaginary Voyages, Children's stories, American, Adventure and adventurers, Open Library Staff Picks, Books and reading, Children's stories, Witches in fiction, History, Juvenile fiction, Latin language materials, Fairy tales, Children, Contes americains, Ouvrages pour la jeunesse, Fantasy, Fantasy fiction, Fantastic fiction, Novela fantástica, Fantasía, Teenage girls, Quests (Expeditions), Oz (Imaginary place), Children's fiction, Oz (imaginary place), fiction, Fiction, fantasy, general, Young adult fiction, Fiction, science fiction, general, Wizards, fiction, Fantasy & Magic, Classics, Literature and fiction, juvenile, American Fantasy fiction, History and criticism, Dorothy Gale (Fictional character), French language materials, American literature, Children: Babies Toddlers, Wizard of Oz (Fictitious character), Friendship, Courage, Adventure stories, Dorothy Gale (Fictitious character), Children's literature, General, Contes américains, Roman pour la jeunesse, Contes, Tong hua, Er tong wen xue, Han yu pin yin, Er tong du wu, Translations into Chinese, Suo xie ben, Chinese language materials, Ying yu, Dui zhao du wu, Han yu, Pictorial works, Robots, fiction, Science fiction, Criticism and interpretation, Wizard of Oz (Baum, L. Frank), Fiction, general, Film adaptations, Oz (Imaginary place) -- Juvenile fiction, Fantasy literature, Courage -- Juvenile fiction, Home -- Juvenile fiction, Good and evil -- Juvenile fiction, Dreams -- Juvenile fiction, Gale, Dorothy (Fictitious character) -- Juvenile fiction, Cowardly Lion (Fictitious character) -- Juvenile fiction, Cyclones -- Juvenile fiction, Scarecrow (Fictitious character from Baum) -- Juvenile fiction, Toto (Fictitious character) -- Juvenile fiction, Witches -- Juvenile fiction, Wizard of Oz (Fictitious character) -- Juvenile fiction, Tin Woodman (Fictitious character) -- Juvenile fiction, Adventure and adventurers, fiction, Witches, fiction, Scarecrow (Fictitious character : Baum), Tin Woodman (Fictitious character), Cowardly Lion (Fictitious character), Oz (Lieu imaginaire), Romans, nouvelles, etc. pour la jeunesse, Friendship, fiction, People with disabilities, fiction, Great britain, fiction, American fiction (fictional works by one author), Picture books, Fables, Toto (Fictitious character), Good and evil, Motion picture plays, Juvenile drama, JUVENILE FICTION / Fantasy & Magic, Fiction, action & adventure, Jeugdboeken ; verhalen, Literature and fiction (general), Drama, Illustrations, Long Now Manual for Civilization",The Wizard of Oz is a 1939 American MGM musical film starring Judy Garland based on the L. Frank Baum novel.
0689831285,Just Ella,Margaret Peterson Haddix,,"Ella, cinderella, just Ella, princess, queen, castle, kingdom, fairytale, romance, fiction, fantasy, teen, young adult, prince, charming, not charming, Fairy Tales, Princesses, Fiction, Reading Level-Grade 9, Reading Level-Grade 11, Reading Level-Grade 10, Reading Level-Grade 12, Fifteen-year-old girls, Teenage romance, Teenage girls, Escapes, Princes, Engagement, Independence in teenage girls, Sex role, Cinderella (Tale), Adaptations, Fiction, erotica, general, Children's fiction, Princesses, fiction, Sex role, fiction, read, Large type books, Children's literature, Juvcol","Just Ella Margaret Peterson Haddix Ella, cinderella, just Ella, princess, queen, castle, kingdom, fairytale, romance, fiction, fantasy, teen, young adult, prince, charming, not charming, Fairy Tales, Princesses, Fiction, Reading Level-Grade 9, Reading Level-Grade 11, Reading Level-Grade 10, Reading Level-Grade 12, Fifteen-year-old girls, Teenage romance, Teenage girls, Escapes, Princes, Engagement, Independence in teenage girls, Sex role, Cinderella (Tale), Adaptations, Fiction, erotica, general, Children's fiction, Princesses, fiction, Sex role, fiction, read, Large type books, Children's literature, Juvcol","Just Ella is a novel written by Margaret Peterson Haddix and published in 1999 by Simon & Schuster. The story is a retelling of Cinderella with a feminist twist and a different version of the happily-ever-after ending. The plot revolves around Ella, a beautiful girl struggling to find the true meaning of happiness."
